"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"6.63489660102121","23.6313510340293","39.6433792431606","-22.0974971978934","0.999942803166447","1","Bartlett","Mother","0.01"
"5.02388618731488","15.3580093841799","24.2789425913932","-12.2209973786467","0.999956180036007","1","Bartlett","Mother","0.025"
"3.84145882069412","9.97004749506073","15.7856055654583","-7.23157743107394","0.999977808783344","1","Bartlett","Mother","0.05"
"2.70554345409542","6.00927170321145","8.3395912658353","-3.26740675974102","0.999976081839296","1","Bartlett","Mother","0.1"
"6.63489660102121","175.850296969011","93.6115680245927","155.643966241328","0.998547930350741","1","Bartlett","Zero","0.01"
"5.02388618731488","74.9536174426136","37.4233643336692","48.7588645694577","0.999385268521758","1","Bartlett","Zero","0.025"
"3.84145882069412","36.4485029046783","31.6958168363769","5.90277194430431","0.999632928394454","1","Bartlett","Zero","0.05"
"2.70554345409542","17.8518305627193","16.6145724416693","-0.623180646147521","0.999762636685089","1","Bartlett","Zero","0.1"
"6.63489660102121","211.075987062343","119.274700734566","-6.59145673624524","0.998708900939755","1","Bartlett","Adapt","0.01"
"5.02388618731488","86.2715510876348","38.5439433160028","-1.40068089100831","0.999239549032938","1","Bartlett","Adapt","0.025"
"3.84145882069412","43.1887602060135","22.498905020452","-7.6010477792654","0.999529313948405","1","Bartlett","Adapt","0.05"
"2.70554345409542","20.9253087384551","10.7710073015494","-3.70280680879647","0.999779021304727","1","Bartlett","Adapt","0.1"
"6.63489660102121","290.202415109841","-133.169893763631","-11.2335687717771","0.9965409610303","1","Bartlett","Over","0.01"
"5.02388618731488","114.491192458324","-64.0300937272178","9.71383660138928","0.99853521621527","1","Bartlett","Over","0.025"
"3.84145882069412","56.2244755314759","-28.5292569625931","6.69436069970638","0.999187576594116","1","Bartlett","Over","0.05"
"2.70554345409542","26.2108113788179","-8.86074992755786","1.59024649852453","0.999607141226113","1","Bartlett","Over","0.1"
"6.63489660102121","18.4522638702657","22.4914017140161","48.6515167691946","0.999978950603369","1","Parzen","Mother","0.01"
"5.02388618731488","10.6813076658894","20.2042231311121","16.4659189938686","0.999993130195672","1","Parzen","Mother","0.025"
"3.84145882069412","7.9224154057499","8.66033011452398","10.8145087412474","0.99998559814044","1","Parzen","Mother","0.05"
"2.70554345409542","4.5183884263105","5.56933759579707","3.66017625794782","0.999996902335479","1","Parzen","Mother","0.1"
"6.63489660102121","-39.6444876914737","338.577599608166","-1.11861207876031","0.999406850403836","1","Parzen","Zero","0.01"
"5.02388618731488","-6.12035725333211","127.186822689469","2.60689035806593","0.999715168462527","1","Parzen","Zero","0.025"
"3.84145882069412","0.989779707879111","57.2075505664717","3.78671816149455","0.999820741119334","1","Parzen","Zero","0.05"
"2.70554345409542","3.07523647881157","20.9003173202912","4.39181174451497","0.999914636151445","1","Parzen","Zero","0.1"
"6.63489660102121","-52.8482754346486","435.800004329729","-86.2403893607076","0.999259473172485","1","Parzen","Adapt","0.01"
"5.02388618731488","-9.98509452914268","160.814967370846","-27.4884857712343","0.999598216296495","1","Parzen","Adapt","0.025"
"3.84145882069412","-1.04168823466205","74.2051390847447","-11.4679766104411","0.999684116324179","1","Parzen","Adapt","0.05"
"2.70554345409542","2.6363484798272","26.2253995155039","-0.150873150336298","0.999887301289653","1","Parzen","Adapt","0.1"
"6.63489660102121","-42.0827747736438","428.988565001398","-124.689462870188","0.999622902699173","1","Parzen","Over","0.01"
"5.02388618731488","-8.96394848921005","167.720925617823","-46.4584581862132","0.999829694456937","1","Parzen","Over","0.025"
"3.84145882069412","-1.17768587044474","77.8166213787624","-18.0655614073006","0.999842434692522","1","Parzen","Over","0.05"
"2.70554345409542","2.32724192401785","27.9040591539936","-2.27199532424448","0.999910069884586","1","Parzen","Over","0.1"
"6.63489660102121","47.4998544069279","-39.7011557183262","711.323520192313","0.999987586495332","1","QS","Mother","0.01"
"5.02388618731488","21.0222858988621","43.3992493367708","229.910861139119","0.999978561847702","1","QS","Mother","0.025"
"3.84145882069412","12.8562174844543","40.0141396016671","85.8074068215901","0.9999808963364","1","QS","Mother","0.05"
"2.70554345409542","8.42904814067958","16.6008367400829","38.1265882491585","0.999997805476121","1","QS","Mother","0.1"
"6.63489660102121","-17.3723706571693","930.097318242957","228.794226899218","0.998810657584591","1","QS","Zero","0.01"
"5.02388618731488","-12.5038613858736","451.030502104655","23.6589747625684","0.99942631826712","1","QS","Zero","0.025"
"3.84145882069412","-9.71165735645129","249.387702887893","-19.4622961016582","0.999387771568249","1","QS","Zero","0.05"
"2.70554345409542","-1.17838113152621","104.605416658026","-4.75704180978421","0.999663001476334","1","QS","Zero","0.1"
"6.63489660102121","-9.84485468611629","1013.00584339902","50.8464295906902","0.999106284819261","1","QS","Adapt","0.01"
"5.02388618731488","-8.87332772535783","472.54176537548","-30.1528902153367","0.999545392429433","1","QS","Adapt","0.025"
"3.84145882069412","-5.11422069721031","250.457747027018","-37.3961885868144","0.999570944361913","1","QS","Adapt","0.05"
"2.70554345409542","1.3573677885558","102.966307255473","-9.73110770157188","0.999756733244695","1","QS","Adapt","0.1"
"6.63489660102121","38.5430827055451","752.286000609294","329.782177049625","0.999365955812153","1","QS","Over","0.01"
"5.02388618731488","6.26495129720253","399.171783663834","48.3206598260438","0.999598923816662","1","QS","Over","0.025"
"3.84145882069412","-3.2097650689451","240.700523583804","-20.5306529824515","0.999488593354959","1","QS","Over","0.05"
"2.70554345409542","0.594153727608161","106.339746266176","-10.3454273908369","0.999766950364659","1","QS","Over","0.1"
