"","1","2","3","4","5","6","7","8","9","10","11","12"
"0.005",3.94389424920158,3.0944084295337,2.70805694330071,2.47550594078679,2.31708317184168,2.20393240089205,2.12790281635281,2.05806874836578,2.0112439169452,1.96613535437843,1.93109719904005,1.89955152247198
"0.01",3.98979411554411,3.15687487039321,2.76744873555612,2.54767565023102,2.38950831241994,2.29097079283366,2.21520401514856,2.14973323467423,2.10855747102918,2.06928973781716,2.03866102086203,2.02327732136534
"0.015",4.04440781889328,3.21636990051834,2.83495659117141,2.63070606700034,2.46961568137757,2.37291637965062,2.30495595946791,2.24817606370865,2.21390388233951,2.18098994474732,2.15642653812387,2.14609456906336
"0.02",4.07908611054701,3.27451143377609,2.90241930669386,2.70446980418284,2.55359743802534,2.4649978388624,2.39612332043862,2.3531633808325,2.32601007942382,2.30306599128066,2.28332229403786,2.27847197579691
"0.025",4.14789627460021,3.3376929145091,2.96795654029713,2.77692326894141,2.64210297892978,2.55732835673613,2.49621157441352,2.46356563598387,2.44390117622383,2.43337490479376,2.42219732274192,2.43213329746523
"0.03",4.20522559393505,3.41069182859877,3.04061623788165,2.85707288340242,2.72950875020677,2.66465883089316,2.60251297069872,2.57640197271738,2.57461148373768,2.57086451919414,2.57197427665303,2.59291239600748
"0.035",4.27736961159699,3.46740453114844,3.11103658544411,2.93159121289013,2.82930058152462,2.77559937957596,2.71426746282888,2.69832431201855,2.70465940330347,2.71807971485883,2.73697285190737,2.77656859806271
"0.04",4.34452574704225,3.53392937822399,3.18967611900314,3.01263439713221,2.93181770179553,2.88448812389264,2.82986891975001,2.82824591819605,2.84210593612766,2.87021614016318,2.91781119978223,2.96284020979771
"0.045",4.40087090908519,3.60008218616757,3.2694207277278,3.10387508857679,3.03793880001931,2.99833163332599,2.95207119365973,2.96229290124347,2.99495420328638,3.04441466534143,3.10425216607216,3.16758033683185
"0.05",4.46386200144952,3.65997509590317,3.33341669684646,3.19937690254303,3.13749955280132,3.1080707105697,3.08820579960923,3.10751774426527,3.16051033971802,3.22823602446058,3.30072208838867,3.38109096643647
"0.055",4.52078564683711,3.72123715187697,3.41767323939083,3.29132730520404,3.24880112969653,3.22791925632017,3.2170494799085,3.25835801425923,3.32406273065457,3.41252524511572,3.50414388286789,3.61027705934807
"0.06",4.58358485805423,3.78133640311526,3.49746117943138,3.38487312635844,3.35635291496325,3.34445041559318,3.36043540730352,3.41820740629836,3.502624741067,3.61152121771887,3.71218520835072,3.83998379794814
"0.065",4.64206633202439,3.84797582222694,3.57484981402769,3.47287701018616,3.46100794371756,3.46560174894483,3.50821022357623,3.57567198137844,3.68190600640424,3.82181075287785,3.93697943784518,4.08413378733809
