"","1","2"
"0.005",3.15910251108483,2.69472221958254
"0.01",3.21231377151519,2.82735744897215
"0.015",3.23077741530332,2.71361957929274
"0.02",3.24250118880223,2.82712234230304
"0.025",3.34938558489124,2.95071701364453
"0.03",3.41651144621913,2.98390129577605
"0.035",3.56431508745832,3.12740649137909
"0.04",3.84511304900418,3.29792998919809
"0.045",3.86239165378169,3.4273002443359
"0.05",3.8328862740333,3.4377750564066
"0.055",3.9155490593022,3.58032929041459
"0.06",3.97356250789065,3.55122810101013
"0.065",4.07305542004524,3.71883159626809
"0.07",4.21970083607212,3.90271522111008
"0.075",4.26684924270158,4.30500127875148
"0.08",4.42322959291682,4.50636944556042
"0.085",4.78033074174708,4.76410302743056
"0.09",5.03843179254416,4.83150237664829
"0.095",5.15053710981677,5.19353109705059
"0.1",5.64072993404778,6.2108783951877
"0.105",5.9636517669254,6.17544224941627
"0.11",6.13489585261461,6.32265441158656
"0.115",6.07275656959135,6.33067388056529
"0.12",6.41084708062677,6.62090364159972
"0.125",6.37239520145558,6.79584743368015
"0.13",6.28966569573874,6.84228355804369
"0.135",6.25971426125419,6.97322881476234
"0.14",6.76709318367032,7.44721002462694
"0.145",7.0203403748739,8.57417026862237
"0.15",7.2290586631757,8.57776661294605
"0.155",7.24883976022212,8.09217802293004
"0.16",7.56568717578252,8.04658943737271
"0.165",7.58917465076225,8.26408092090954
"0.17",7.4112019818918,8.59557678863059
"0.175",6.87544742849044,8.14413323089205
"0.18",7.18661309221,10.482661527146
"0.185",7.38700766633039,10.6143155122507
"0.19",7.65147090028806,9.55763303269806
"0.195",7.96527671810502,9.78013054397427
"0.2",8.41705609666052,9.96260849009275
"0.205",8.90704893259688,10.1479875002935
"0.21",9.18954221595222,9.08164272145547
"0.215",9.66690462993745,9.26485932177673
"0.22",9.41523622792897,10.5412660462907
"0.225",9.36190170859251,10.1166859938947
"0.23",9.70379255800827,9.85445958124857
"0.235",9.58283254921955,10.1539570946866
"0.24",9.94745104517293,10.3256380553772
"0.245",10.3155549350803,11.7029381365357
"0.25",10.5876252971491,12.6819974570917
"0.255",10.4200314127648,11.5413381406676
"0.26",10.2918942253955,13.9601570724114
"0.265",11.4925853053009,11.6836180252501
"0.27",10.5520989293201,12.14076935405
"0.275",10.2167571726497,13.3582733834992
"0.28",10.5841914587194,15.5084200116215
"0.285",10.7273802858812,16.4872029406217
"0.29",10.306390971789,14.1120793822098
"0.295",10.6615412514964,15.5349024970839
"0.3",10.9658444290322,15.8257282997702
"0.305",10.6506572971922,16.1831942633129
"0.31",10.9232847177335,15.2067556416758
"0.315",11.8789749925185,14.2221742858864
"0.32",11.9717231610987,13.9197934099097
"0.325",11.9084553967679,13.7296023122177
"0.33",12.3008247292217,13.5460603171446
"0.335",12.4734046216924,13.8686488100758
"0.34",12.6998662794262,13.3915045361698
"0.345",13.2453448134851,12.515171654507
"0.35",13.0031160854941,11.9050222507159
"0.355",12.9317882044447,9.97990638027895
"0.36",12.2778041637452,11.4286426720444
"0.365",11.4741243120994,11.9465897033725
"0.37",11.8711448277902,12.8995692003086
"0.375",12.847535028287,13.0639487075054
"0.38",13.0083961232242,13.3473090695849
"0.385",12.3647755130275,13.0796000176045
"0.39",12.8095014495937,11.8925476275818
"0.395",12.4977078417592,12.0288506632721
"0.4",13.1997057786203,13.6273679550002
"0.405",13.2053747097001,12.302688470502
"0.41",12.9530092058554,12.3109241208281
"0.415",13.8584672053472,12.0724215496511
"0.42",14.1488341154081,14.7548500765689
"0.425",14.5332588848592,16.8243120773144
"0.43",13.612514899764,16.906193232097
"0.435",14.6398338659414,16.6366548504636
"0.44",14.6124342528746,16.7129748406311
"0.445",14.5316980632899,17.368241401964
"0.45",15.3044158763728,14.2553532942153
"0.455",16.0167339666417,13.2903652371441
"0.46",16.3033577840898,14.3339754945441
"0.465",16.4028807135659,15.7225113996748
"0.47",16.4313756577193,15.8160403871009
"0.475",16.7872678204243,17.6467889887507
"0.48",17.9148836827554,15.4871113639669
"0.485",18.9129033920694,15.4387182718034
"0.49",20.4170815975089,14.8426617925974
"0.495",22.0156861041539,13.8012073690925
"0.5",22.7373380657993,15.3783903346512
"0.505",21.1129847452336,15.9237884672428
"0.51",20.1661659922865,14.3172678298269
"0.515",20.4545022040317,14.016486092519
"0.52",21.8762733753292,15.3943508061745
"0.525",19.1267615495427,17.5154459370946
"0.53",18.6144148873089,18.8669920396089
"0.535",19.8611760173984,17.6246413470393
"0.54",18.456104539631,17.5858492446693
"0.545",16.3565033775561,17.1781075064842
"0.55",16.7027827147273,18.2867054161012
"0.555",16.6115331791048,17.7295974146128
"0.56",16.3779724854472,18.4733425728226
"0.565",16.5933325252915,17.9771261264812
"0.57",17.6932601125144,15.9442060651213
"0.575",18.5212839554831,14.9078447437898
"0.58",19.2116065336257,14.9121203999408
"0.585",18.5742797546251,15.4653642946896
"0.59",18.4942758819237,16.0815648155944
"0.595",17.387841333857,16.5587700270038
"0.6",18.5481535616276,14.5870434503449
"0.605",17.6989190096024,15.9562792699226
"0.61",17.3604931721957,16.3485234656294
"0.615",18.9676561671022,13.8920203272804
"0.62",19.1935286591953,13.8738513584979
"0.625",21.0066734822166,14.4389123162695
"0.63",18.9966099746167,15.5768826118212
"0.635",21.5312893174309,16.905006039119
"0.64",21.1580501788203,19.5951121250169
"0.645",25.1049872281277,19.3198899102786
"0.65",26.5411878639442,22.2020706935294
"0.655",27.56945532301,22.4378932544692
"0.66",27.1709908073841,21.5005148207747
"0.665",26.0706421835798,24.5245567869928
"0.67",27.4866398169575,21.2249716424964
"0.675",26.4056270904354,21.4328679531283
"0.68",26.3862914547859,21.9523687874017
"0.685",23.5685832462358,22.1707070876371
"0.69",24.8096607246134,21.4963405201459
"0.695",25.1531568818467,20.2073705267752
"0.7",27.8665037298659,20.4062874939066
"0.705",28.9795300725963,20.4937695213621
"0.71",22.672096946939,22.9112474320034
"0.715",25.0508131764056,24.9815018901286
