"","1","2","3","4","5","6","7","8","9","10","11","12"
"0.005",3.9768666358245,3.15493796108298,2.76479789820572,2.5569929796782,2.40845892984644,2.31245883501412,2.23384677855446,2.17787673210376,2.13519376391803,2.09893825111537,2.07979502537195,2.06482960362734
"0.01",4.08081667067332,3.27368890259772,2.89679994919278,2.71648938928151,2.57004079394865,2.49382136582675,2.4230502262527,2.39018308304085,2.38119593001009,2.36710215574666,2.36313184861381,2.38105201523362
"0.015",4.20579182751225,3.38588932016456,3.04632475447199,2.87231969040285,2.77423610042937,2.71613338413594,2.68827925380054,2.69028346872334,2.69905371471898,2.73479476857197,2.78317168286173,2.85711970693473
"0.02",4.31700755182535,3.5175242962051,3.21595661319011,3.06873841078968,2.99065648711054,2.99531941467796,2.99541009274331,3.06157788555685,3.14155092399697,3.28119199123114,3.44870118761247,3.70055818797413
"0.025",4.42384688839555,3.67082398630431,3.41065677598931,3.2914682570223,3.28501794845,3.34641451153517,3.40783900654338,3.59119589045786,3.87518838027308,4.22289236501944,4.74922793008316,5.56936638750524
"0.03",4.54859694185319,3.80577481637648,3.58937379419709,3.5454179413881,3.62205951012077,3.78470930677901,4.00413612353685,4.44869821137062,5.01001718817581,5.94813159210826,7.31461514211502,9.17308458951443
"0.035",4.68517002971575,3.97932642828947,3.8099161356328,3.84634767787254,4.04405667978366,4.37461664615232,4.932893975681,5.69445009979505,7.07184098341536,9.03798766478993,10.9028545234619,12.8192053274335
"0.04",4.79321306438198,4.16194585746643,4.05888706049959,4.19755553581516,4.58408498929395,5.18729327740223,6.15839612492968,7.64105595177144,9.79152928134969,12.0042278319474,13.4828007268987,14.4112421893841
"0.045",4.93687018291789,4.35789113560561,4.35885047494935,4.62702482461033,5.21496618449735,6.26768256930085,7.80035694271452,9.88986215310739,12.5743488051324,14.1700357926956,15.1356161059741,15.2148833443531
"0.05",5.0903801178986,4.54010244610524,4.68471351564808,5.14417605822776,6.15155511807659,7.54505705104974,9.65172578746839,12.1704417802434,14.3257318307476,15.3267051367522,15.7225017585191,16.2086697916555
"0.055",5.23833586716754,4.77253517864254,5.04032984451529,5.75882707224498,7.14467021679804,9.07941232616752,11.2978832159308,13.6076461167232,14.5211531291566,15.8692018360076,16.2053480880282,16.1294362319848
"0.06",5.402724192814,5.05007562861957,5.45536523763257,6.4873629361615,8.23832165632296,10.7356856528678,13.1535540973919,15.1165404050407,15.6924932594171,16.1446708651709,15.5679300791297,16.724681083194
"0.065",5.567278016327,5.31665819767421,5.91689430340281,7.24761281985856,9.41150529768326,12.0911578229267,14.4723695942181,15.4073954382526,15.8759187724247,16.2590801039969,16.8901690822863,17.3196736582763
"0.07",5.74814152380267,5.6189795714668,6.44639167187065,8.15128013789811,10.743735563697,13.3683328027893,15.1146102480943,15.5423927535191,16.5978764829792,16.6199598099958,17.0794150718848,17.8494903934569
"0.075",5.93945558909198,5.97953489870867,7.00070171209948,9.04929055229769,11.8795117252537,14.5137886322136,15.634088079422,15.9412874805055,16.8165041939578,16.95847248578,17.8516610745198,18.4496186753891
"0.08",6.10364433108087,6.27476798914407,7.59578202472851,9.89383057745827,13.1367916973187,15.1012459863945,16.2771420209777,16.8694273082568,17.3015657679313,17.7905184049825,18.0339691426148,18.1199791007021
"0.085",6.31956978405919,6.68118639838941,8.26438281621134,10.9780155448921,14.1382796476192,16.266782546539,16.8049424563464,17.1932419888754,17.820652462449,17.7541696310676,18.1500261282267,18.3161013485908
"0.09",6.50150798728471,7.09448897336362,8.96563791611946,12.0929208273026,14.9165560226617,16.5533632872668,17.0750779677967,17.2912212295658,18.6106125293806,18.5891486458446,18.8706558838556,19.1536763974051
