"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.005",4.52649532832491,3.28744450388786,3.04539304482536,2.72506476306757,2.718960791419,2.53872444606079,2.80478020528842,2.45908069741706,2.26758882900712,2.12415789986571,2.12705249121663,2.02281818607033
"b=0.01",4.63571485425434,3.62439229858392,3.17966548692998,2.90107285863718,2.8950785859395,2.69898653715325,2.99666426996879,2.65320161275669,2.50207665285273,2.27064203690455,2.26554812815207,2.09046649072688
"b=0.015",4.94193691770963,3.88230825526802,3.48042161841704,3.04970597601122,3.08443281015268,2.86112681146091,3.19880981171065,2.86193596719003,2.72769962873756,2.45852469806614,2.43048257289341,2.28954774779475
"b=0.02",5.32759254455916,4.0019782599207,3.73922153735955,3.01504805970972,3.03416772782527,2.87219333252232,3.31760929485759,2.99450135226893,2.85365771193558,2.60844877667115,2.7695069770482,2.61244315610187
"b=0.025",5.50931291226445,3.9858453793303,3.65908121645343,2.89979483866823,3.00266247342995,2.88498699423844,3.35079397457121,3.04289988054845,2.93637549867501,2.81212007271181,3.01508480344719,2.79882098105463
"b=0.03",5.62370653216426,4.14762271867651,3.68095909672347,2.96058804940796,3.02218851386918,2.94387554475405,3.4800323128125,3.18692986601678,3.07540280404207,2.91391219355996,3.01819193163622,3.0782763807183
"b=0.035",5.78118016690228,4.15356761856553,3.75484410893976,3.00738013810724,2.98473996737779,3.01935258595639,3.62033388100235,3.34830504822571,3.33306501879534,3.18481400982586,3.14523817396603,3.29708531451249
"b=0.04",5.90545523854334,4.1369152917241,3.84982940470241,3.15294265216279,2.94302407830458,3.22069162043085,3.58247337915109,3.27459630267653,3.57368828197447,3.2934320404769,3.2980120186685,3.39117206706134
"b=0.045",5.86291396299865,4.160173371971,3.92046662985202,3.10119685991592,2.94404718501879,3.34995656783182,3.82909209408315,3.39712603507993,3.70982168316838,3.51379042461499,3.36682847848073,3.68069348916743
"b=0.05",5.7549667282961,4.22650583724954,3.89013065017588,3.06307230903563,3.15711053964202,3.31978691193512,3.95300671746081,3.70922086605557,3.8616030256069,3.64161329319471,3.67508183187803,4.07623297177311
"b=0.055",5.75818191244738,4.3237335505979,3.91498049192358,3.07099866632325,3.45876603544233,3.51937832857234,3.9694359796489,3.7211963796187,4.28393989550661,4.04313603921891,4.13973710213341,4.51793153134868
"b=0.06",5.94584887614011,4.45553682531745,4.05614754939199,3.14773792391554,3.72324417770853,3.59046208696842,3.9424628509839,3.66720302165817,4.56164209445954,4.30287358288149,4.392704994001,4.97467837362541
"b=0.065",6.09344589572375,4.59379581197439,4.10267685795248,3.37320205875013,3.87934861935103,3.55016849819556,3.93493368746311,3.71497596816471,4.72488036567255,4.49705220551003,4.50131670507686,5.27859527411317
"b=0.07",6.1585260348596,4.70580991583603,4.13091860289047,3.52959986834405,4.04789840618737,3.64461801083388,3.98745649085741,3.86596427387111,4.89405881746287,4.67690856465273,4.63894907066704,5.21794911895928
"b=0.075",6.18015246631342,4.76256418629566,4.15555229425615,3.61290184279416,4.20082983870412,3.74241191453709,4.13816363497389,4.05998112775927,5.14984874979176,5.03868632377707,4.96314369259306,5.06587446573664
"b=0.08",6.26918395597934,4.85277646783416,4.22937391956319,3.64026769168982,4.33787714812328,3.91690920796292,4.34926550119257,4.27467938381951,5.36104711161474,5.44053304583257,5.40087743447812,5.08944353244073
"b=0.085",6.27613000126063,4.94575236626025,4.29564482215597,3.68983663241284,4.57535423686417,4.17571755791937,4.37608785772809,4.36392292725742,5.54471005451883,5.79428992251114,5.69100891865431,5.23691110221431
"b=0.09",6.37458422856452,4.97572068449871,4.39190976636374,3.76632901255428,4.79641227346669,4.48900303603392,4.5082564279531,4.57665036342262,5.8088180834323,6.04288815929939,5.91160384552141,5.46704203080537
"b=0.095",6.6103819634848,5.01757062794133,4.54191402374834,3.94287400689559,4.75957434634813,4.5903085689317,4.71540157087457,4.60540850127576,5.96584146228388,6.33700621136807,5.84744889797896,5.77861756039048
"b=0.1",6.83421667691869,5.02690104495934,4.62406352235151,4.11848160972158,4.76236636526694,4.707264700603,4.71851214884974,4.73376369492776,6.30133086126927,6.09140486922381,6.47059679400386,6.21706951732823
"b=0.105",7.00106945925831,5.12739134518152,4.67377056849946,4.21485509576313,4.91452029602761,4.90131834451615,4.97505204358353,5.04231880187585,6.54771768440241,6.42511935478368,7.00835517517044,6.73005677894802
"b=0.11",7.07525214060239,5.2496308925645,4.79638501716603,4.24742874694729,4.98739182352327,5.09677037247132,5.41583218649319,5.24046973397516,6.86823294826235,6.60279092694238,7.44702939333064,7.27067164643631
