"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.005",4.99437336987936,3.337721567121,3.41083711657021,2.71400970771718,2.81305496652544,2.80366717444534,3.21640736008514,2.84628944912814,2.57707206331055,2.32946261784665,2.37419917447962,2.22541864349697
"b=0.01",4.9765226104192,4.06388635615969,3.85984916494647,3.13017768525854,3.15118354914318,2.91893704612716,3.32067447537961,3.04673099991656,2.99434431411234,2.69556640931791,2.78756138804006,2.60344857402316
"b=0.015",5.61244520919831,4.56213167787175,4.46304156113535,3.4707762876279,3.48980625666795,3.52861092632606,4.60240021093556,4.22022603993905,4.38216821176868,3.9851684167789,3.75163609471092,3.49967951073117
"b=0.02",6.36088243123558,4.52131819057089,4.1828664727987,3.72046360521641,3.56268351109813,3.56969246826809,6.29313433850792,6.04095916883446,5.37394376671681,5.37363596200045,6.05858569799317,5.71638487846767
"b=0.025",6.63566355004797,4.09398710418585,3.90703985910145,3.60176884310841,3.73721531978492,3.62847568023075,5.33882339565544,5.73704214458108,6.59914459385127,7.66971605523124,7.20779094580387,19.9891117437298
"b=0.03",6.58394236068192,3.90288494150303,4.13900474311976,3.69578957801086,3.69670008497637,4.49180263625415,5.80083917552833,9.1413947844818,13.002160297425,14.7873361940146,19.0586784450904,19.497547973385
"b=0.035",6.62170954137711,4.13492288152387,4.12188487591771,3.80003709644349,4.00698895752191,7.03134282673933,6.87569115086142,8.88089458722555,23.6151746985169,25.3491365149422,54.2346994918155,30.467479135741
"b=0.04",6.66316382378321,4.82274767486201,4.46719843251765,3.97908920226611,4.55169885733945,12.8936489082907,12.9478336580735,22.8629107773638,25.4036537458019,91.6126478858307,188.970421104526,184.295408254646
"b=0.045",6.87802561236071,5.79726336270802,4.71108165216721,5.89697312136308,6.81317180443045,35.3997385997998,26.9909315944098,23.7752082027985,36.1492521582332,92.9854721842681,128.963034377661,11.1891119650088
"b=0.05",6.66726878640331,6.1252615816629,5.32633997590878,7.25429328597856,11.9764347512398,35.3227723812927,13.5370171260685,27.5092241705298,35.8854986577037,91.2455367815179,207.253380590476,89.5683504965898
"b=0.055",6.50306111150157,6.31367173704253,6.10809427710127,7.74773585500314,35.5329179990316,24.3312205539235,27.6839238252397,100.340748754787,39.9480946501701,58.0827828405337,119.989767066681,14.3568571134797
"b=0.06",8.44861745892622,6.27674105606281,6.85174717474896,10.0719482769553,47.8885819558417,24.5890285055315,60.4094176289606,115.781867080923,51.727938614641,61.0883910241403,61.9665202249655,57.2027023272519
"b=0.065",10.2083091627531,6.35875961977899,8.26535133606317,23.1792008270282,107.090755252995,47.0871694907048,46.9283341004353,81.9408213088744,244.27376317828,91.3535087891063,70.5947958606151,101.682919689026
"b=0.07",10.0393371325221,6.16892192217346,6.88670366102138,20.0146922674652,287.977167234242,15.1991887490091,29.805783815148,46.533907780922,246.303989238496,102.012679375327,110.317740657035,34.8079297606199
"b=0.075",10.3324121978118,6.05569499142431,7.78794455742536,14.2856929588976,43.5389460057307,102.76114702454,28.3079212632643,50.162080218912,33.9108526525262,53.8160354363321,24.5249417957676,59.6098127340594
"b=0.08",12.0450517177078,6.8680003178459,59.0547846969131,18.1142461249039,80.4617481169379,165.536510108178,148.184493225439,31.0315814755784,76.1510891597381,97.286089664972,58.7490978877085,59.5548750021672
"b=0.085",13.1011340415742,7.22152141449249,11.3432587030459,20.6532017751642,115.231205483817,51.8479543151471,483.9441631102,42.7580038607919,23.6191661594231,40.5580239770532,52.6898544821263,44.0879206039644
"b=0.09",12.4890449889807,7.66531459229529,18.0180112273732,71.0010188143117,66.9401728588303,49.1793215342872,108.867883357996,34.26472210965,38.8955152164949,30.573945128568,43.6095523245332,44.6157909368412
"b=0.095",12.4502163173453,8.30165908255555,22.3007552209951,25.7543945058224,40.4912750995484,187.967433657674,247.213635182214,60.6991092239384,45.5483656733059,30.3020450941068,105.983745613588,51.7710714908106
"b=0.1",12.5686006770133,8.96782242737834,30.2368710372248,23.2926776051791,29.9138895788777,27.7451169604887,48.9126543099814,225.566219009646,223.645302604218,42.6542457753706,269.132276130205,58.533048077843
