"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.005",2.07731056125954,2.04554714417803,1.99607343648231,1.80242962684083,1.86544747091454,1.89844552171819,2.04474083159394,1.91817621291194,1.96031060437321,1.81025177151639,1.86187386230828,1.79055091095277
"b=0.01",2.04913923779276,2.14627261838843,1.89885704719607,1.7366621979334,1.9382931287539,2.21226549684247,2.411366108149,2.18055601136963,2.2464519605954,2.08392332836104,2.32601159223873,2.19137790281124
"b=0.015",2.07927655850027,2.32050005052971,2.21021194539131,1.87085048232453,2.103871536891,2.31302299079022,2.61309508681655,2.55081475534556,2.60581230469405,2.45881291701096,2.69968037769791,2.68045923268948
"b=0.02",2.08355252796819,2.60540508269075,2.39530879995594,2.06899674186821,2.25145403630423,2.50093283746336,2.83056945407384,2.86487156650768,3.10567953967978,3.34836203943564,3.35780576499257,3.26072958420432
"b=0.025",2.44398674516156,2.89870495090844,2.62607169519264,2.39962632653879,2.44473569297255,2.87651580516256,3.19818056591168,3.07904582849856,3.4782959407625,3.78815559014798,3.78589387443897,4.19612801206884
"b=0.03",2.5125275290057,3.09833875868964,2.84931610979646,2.5944900241422,2.68913083374808,2.79639029045288,3.85021549760649,3.80790368229048,4.36427883871952,4.88771836626983,5.13506178961825,5.67119081346771
"b=0.035",2.58544234598129,3.3585153548903,3.13781363138895,2.77205304405667,2.84783717018927,3.13294861561686,4.26455272823764,4.2984975917724,6.35047550615039,8.45971065314224,8.65144341801621,8.06831560478855
"b=0.04",2.75771322157841,3.49073502564234,3.33897320634468,3.19881289201774,3.01711403059287,4.03135897980188,4.06665611231724,4.40027781787821,6.33880805156762,6.9209617849999,12.7610588266011,6.33684641597259
"b=0.045",2.79554077530801,3.63369604879879,3.67791013753157,3.39306977220185,3.41755232946058,4.44169010733042,4.35821896303492,8.57153073629263,8.01601586514232,7.53464455679492,9.3295496605432,6.10961997811192
"b=0.05",2.66875451064488,3.77736970794372,3.60077951146323,3.66558666820555,3.71748247858442,5.09031715973218,4.77672930597656,8.92917272965094,8.55165545499584,10.471485177479,12.7641516260595,7.98854033897667
"b=0.055",2.79147731158339,3.68743855151042,3.75968846398371,3.82027423139715,4.13179634654345,5.39552405024949,6.18859221246323,11.5371614985309,12.5393574711148,12.5598238819016,9.76612227036474,7.40653055734195
"b=0.06",2.96354679788328,4.0546748815778,4.38491809948641,4.08607909426773,5.28763755154655,5.55048627190372,8.59476184751471,8.56940198044289,9.74340124847055,18.2781291366417,8.74147297821604,6.02134891407337
"b=0.065",3.18897167420162,4.32985186920415,4.5476095747586,4.46671814667802,5.45006218429122,8.21194679096125,8.2267261942623,10.2447773320961,13.6060629558066,12.082117785131,10.4009372845271,10.6032548601252
"b=0.07",3.41056332623782,4.30280424004907,4.38658951963945,4.75862524831543,7.38049796907793,7.72456955967506,10.0503222958194,12.1402894724857,15.2827983153437,11.6581698458819,12.8333151941048,8.52030248873481
"b=0.075",3.67809188913494,4.3483392618852,4.47252922779541,4.96434776610218,7.81094431081815,7.9700384322052,10.632399685938,8.72977682362843,14.4686610512723,15.2149878678596,10.5589104719662,10.9381511493973
