"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.095",6.11866911639108,4.5288685253009,4.25557669018976,3.62298414178117,4.12473730468097,4.27208408118583,4.59906099170592,4.58285072649014,5.64921618577948,5.36550944956828,5.78900065053961,5.54663973178935
"b=0.1",6.22325274203804,4.62093251965293,4.33912778764449,3.75725947102925,4.24162596116986,4.37172177122132,4.68356337681205,4.70421433428621,5.98255529426279,5.82244712226348,5.97739658469038,5.97838025333219
"b=0.105",6.34558144640974,4.71182454015862,4.45475972654417,3.88769401436941,4.21684250306244,4.46129835521451,4.82600244100268,4.90865188701532,6.44553625929295,6.09469246232956,6.2900935302491,6.36902941674842
"b=0.11",6.48464374232011,4.83155993344498,4.56480789585362,4.03453841987877,4.27195349742772,4.66681014912785,5.02674151913941,5.11764814227439,6.58158940347229,6.45506711715666,6.65804066923325,6.78566911414118
"b=0.115",6.59687938609854,4.96896481634331,4.71791146219087,4.11661011820103,4.3818974562849,4.89942958534102,5.29488800445737,5.34284494294872,6.4735639285774,6.68995654922359,6.99578161491073,7.2840545086005
"b=0.12",6.72774793341648,5.1366752988924,4.87113477405243,4.24295700586294,4.56049906355108,5.04254198948854,5.45709730079664,5.64032963016444,6.83884042705223,7.05538270796074,7.19706992155866,7.62643222090691
"b=0.125",6.73952184423673,5.29860046542428,5.0465668547883,4.57325509220806,4.84112491992881,5.20862619062966,5.57976719056229,5.78811838205658,7.19528698408303,7.55935328539447,7.51166522799712,7.55573766252356
"b=0.13",6.71821749363773,5.3743698482359,5.21042949567148,4.72560277297335,5.13121606911077,5.35835638793611,5.85501862826196,5.95319078386176,7.6806691268617,7.99348882334654,7.98535354093658,7.98813145166946
"b=0.135",6.7613651361372,5.40928426193227,5.39118059677463,4.8700507675602,5.50007212995607,5.45558059429746,6.07111533407703,6.09645078108671,8.09895866837707,8.40417444177457,8.87313889688785,8.68079212953253
"b=0.14",6.86756685462657,5.4120062670856,5.53358105324844,4.95286107740821,5.79339294643792,5.52349864724287,6.11556452108818,6.47733147243493,8.4531319356731,8.36503421305527,9.26231045117914,9.21235242868835
"b=0.145",6.98965553554755,5.43750203118179,5.6260078441468,5.08970962845996,6.08632245022202,5.57699870192259,6.42500660543766,6.73894226857967,8.96173683775653,8.58110344490631,9.48963818335024,9.41535864884279
"b=0.15",7.13295083440802,5.48316859236537,5.65031732352956,5.1200668529304,6.34501130608625,5.69989656846176,6.71779583160067,6.95176405206022,9.32612065187532,8.9059873808221,9.57712216158745,9.40398412335287
"b=0.155",7.26539616326804,5.56356583819852,5.62620305280838,5.16742456709023,6.6030643833788,5.84716171369659,6.79329332534783,7.3394395965676,9.46687828382999,9.02084247708275,9.94349989628143,9.55806626606272
"b=0.16",7.40021629978145,5.6316697229011,5.59756822303899,5.20489436879994,6.67547394098818,6.08959406576099,6.87140580071363,7.68922310857609,9.36273960371726,9.08937653628641,10.1746034089924,9.52340925821036
"b=0.165",7.65744877443474,5.66102588601632,5.67034231409552,5.31352797239218,6.79321413613857,6.25617986923358,6.9904348813999,7.85597667593627,9.359945776548,9.60186266218393,10.759598099681,10.0765976405721
"b=0.17",7.89932713660739,5.9821971407473,5.75964174726692,5.43480710587283,6.8195084570076,6.51394252989601,7.32233837499923,8.05335749814537,9.63226822348873,9.96433927922647,11.2079517805979,10.7638763409974
"b=0.175",8.08150174876364,6.36155554685874,5.9495938495837,5.53958537549359,6.96134494821469,6.756867469792,7.67568810836518,8.49284422121152,9.91233268681358,10.0684429395138,11.3887392929423,11.5508995885931
"b=0.18",8.14099235744668,6.45205451641218,6.08739799431544,5.62210595716122,7.00953169135401,6.82102821636738,8.02278751405332,8.92546026143355,10.0235287728912,10.3422916341443,11.3857583910244,11.8303745372063
"b=0.185",8.21319580679492,6.41725503859604,6.2688881930859,5.66646354624988,6.93463079637242,6.98632092536475,8.45885894649488,9.30442133898289,10.3330626522834,10.7579691440386,11.8098027253214,11.9436440421776
"b=0.19",8.3111624342055,6.3827642716704,6.50791088908557,5.74362406842122,6.92553428414673,7.16292388853978,8.93810641248289,9.49135808917965,10.7356524414314,11.0939080604187,12.1979191650385,11.9643482659121
"b=0.195",8.4115976155169,6.34273707183168,6.68397488662603,5.95883597982967,7.01418067660958,7.25934030035741,9.16118249211338,9.69438126770342,11.112332288593,11.3980702075328,12.2041116189126,12.7285399911898
