"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.005",3.05243240211071,2.79674983085172,2.37401437108404,1.98225631425356,2.00568978131477,2.15579996175078,2.23962096619576,2.00145301072491,1.95495768652065,1.81312059613815,1.90638783069274,1.84708629560836
"b=0.01",3.07320537433789,2.79105803898946,2.63980940618752,2.11243618473789,2.08782387073024,2.31971311284151,2.46624093603913,2.23381744860709,2.18213014355034,1.98712962379827,2.05993649191398,1.96208483000243
"b=0.015",3.16805147665192,2.8012714834529,2.80176630784981,2.14831730660138,2.07968032001107,2.47170145346699,2.60923535321045,2.28737033865279,2.34317535737799,2.22419372906122,2.09485292159756,2.10302016413767
"b=0.02",3.30574595281692,2.91008385553666,2.90447467200946,2.26526843584118,2.22343789075036,2.60803779278672,2.73759666939344,2.39931966621262,2.51598759443346,2.40272586511612,2.26723923035262,2.17034891826448
"b=0.025",3.30103341532815,2.97016592842506,2.94780016677421,2.38317540444226,2.25262327883147,2.63912964337001,2.77177472447479,2.49388327164833,2.66876986968774,2.41654705604048,2.45416416811954,2.29420156461192
"b=0.03",3.44652451251787,3.05658053653859,3.11003650231663,2.4088120185229,2.30622080921816,2.6847531025865,2.82967467686635,2.61160720505936,2.81855161058047,2.59485940308864,2.61248212119064,2.46015541233908
"b=0.035",3.71857155186703,3.15110408764689,3.16961510928111,2.42755608091497,2.4448934042658,2.80066159878746,2.80384596794703,2.7706172984005,2.97295017189136,2.77287869745307,2.72487163356533,2.63915865568875
"b=0.04",3.98295765673815,3.23865491334012,3.14329540207137,2.53637276203691,2.57651716728834,2.8147650501062,2.9312545437979,2.89937170268917,3.20888474740861,2.96473944691081,2.96703119984004,2.83387880649515
"b=0.045",4.11679289205176,3.3263014723572,3.2262108929049,2.59019739969639,2.68249910040016,2.80455202003609,3.06036687732449,3.02953605255043,3.24685012026115,3.18719068370848,3.27651308693606,3.09810465976512
"b=0.05",4.1437447286604,3.38377863037795,3.4429196104102,2.68091897592131,2.75882666446779,2.76415878555147,3.23958314264122,3.15166371642091,3.45750435284911,3.32740501284753,3.47754850934833,3.21599056783745
"b=0.055",4.29735209221421,3.4472548920399,3.61770691614098,2.82961531756613,2.84253753118062,2.94687897386849,3.41049056182236,3.26616555475938,3.68618055723826,3.70340977368927,3.73757152223871,3.49752110127929
"b=0.06",4.46967240965385,3.53381611455037,3.69354230191855,2.89367421065074,2.86766505959302,3.02992950155248,3.52080231334629,3.40910576823133,3.92382775751913,3.96044217123113,3.92893437835732,3.70674942498331
