"","zero","adapt","over"
"b= 0.755",0.0645,0.089,0.1054
"b= 0.76",0.0661,0.09,0.1061
"b= 0.765",0.0673,0.0905,0.1085
"b= 0.77",0.0679,0.0921,0.1106
"b= 0.775",0.0693,0.0928,0.1117
"b= 0.78",0.0712,0.0944,0.1139
"b= 0.785",0.0721,0.0952,0.1156
"b= 0.79",0.0728,0.0965,0.1166
"b= 0.795",0.0732,0.0974,0.1179
"b= 0.8",0.0734,0.0989,0.1188
"b= 0.805",0.0737,0.1009,0.1203
"b= 0.81",0.0744,0.1019,0.1226
"b= 0.815",0.0757,0.1023,0.125
"b= 0.82",0.0767,0.1042,0.1256
"b= 0.825",0.0779,0.1054,0.1267
"b= 0.83",0.0795,0.1071,0.1279
"b= 0.835",0.0808,0.108,0.13
"b= 0.84",0.0822,0.1092,0.132
"b= 0.845",0.0832,0.1104,0.1335
"b= 0.85",0.0837,0.1127,0.1351
"b= 0.855",0.0852,0.1139,0.1368
"b= 0.86",0.087,0.1155,0.1387
"b= 0.865",0.0882,0.1176,0.1401
"b= 0.87",0.0893,0.1185,0.1426
"b= 0.875",0.0906,0.12,0.1442
"b= 0.88",0.0922,0.1211,0.1451
"b= 0.885",0.0934,0.1224,0.1468
"b= 0.89",0.0942,0.1237,0.1478
"b= 0.895",0.0953,0.1255,0.1485
"b= 0.9",0.0967,0.1266,0.1506
"b= 0.905",0.0977,0.1278,0.1529
"b= 0.91",0.0995,0.1289,0.1548
"b= 0.915",0.1012,0.1302,0.1568
"b= 0.92",0.1013,0.1316,0.1578
"b= 0.925",0.1028,0.1333,0.1598
"b= 0.93",0.1039,0.1349,0.1616
"b= 0.935",0.1046,0.1358,0.1634
"b= 0.94",0.1061,0.1363,0.1649
"b= 0.945",0.1078,0.1374,0.1665
"b= 0.95",0.109,0.1387,0.1675
"b= 0.955",0.1101,0.1395,0.1688
"b= 0.96",0.1109,0.1409,0.1701
"b= 0.965",0.1125,0.1414,0.1718
"b= 0.97",0.1134,0.1429,0.1727
"b= 0.975",0.1144,0.1438,0.1745
"b= 0.98",0.1155,0.1448,0.1761
"b= 0.985",0.1164,0.1458,0.1764
"b= 0.99",0.1174,0.1463,0.1778
